year,series_type,series_name,series_href
2022,International,ICC Mens T20 World Cup 2022,https://www.cricbuzz.com/cricket-series/3961/icc-mens-t20-world-cup-2022/matches
2022,International,"ICC Mens T20 World Cup East Asia Pacific Qualifier B, 2022",https://www.cricbuzz.com/cricket-series/4625/icc-mens-t20-world-cup-east-asia-pacific-qualifier-b-2022/matches
2022,International,"England tour of Australia, 2022",https://www.cricbuzz.com/cricket-series/4247/england-tour-of-australia-2022/matches
2022,International,"Indonesia tour of Japan, 2022",https://www.cricbuzz.com/cricket-series/4807/indonesia-tour-of-japan-2022/matches
2022,International,New Zealand T20I Tri-Series 2022,https://www.cricbuzz.com/cricket-series/4385/new-zealand-t20i-tri-series-2022/matches
2022,International,"West Indies tour of Australia, 2022",https://www.cricbuzz.com/cricket-series/4245/west-indies-tour-of-australia-2022/matches
2022,International,"South Africa tour of India, 2022",https://www.cricbuzz.com/cricket-series/4471/south-africa-tour-of-india-2022/matches
2022,International,"Bangladesh tour of United Arab Emirates, 2022",https://www.cricbuzz.com/cricket-series/4728/bangladesh-tour-of-united-arab-emirates-2022/matches
2022,International,"England tour of Pakistan, 2022",https://www.cricbuzz.com/cricket-series/4492/england-tour-of-pakistan-2022/matches
2022,International,"Australia tour of India, 2022",https://www.cricbuzz.com/cricket-series/4464/australia-tour-of-india-2022/matches
2022,International,Africa Cricket Association Cup 2022,https://www.cricbuzz.com/cricket-series/4709/africa-cricket-association-cup-2022/matches
2022,International,"ICC Mens T20 World Cup East Asia Pacific Qualifier A, 2022",https://www.cricbuzz.com/cricket-series/4623/icc-mens-t20-world-cup-east-asia-pacific-qualifier-a-2022/matches
2022,International,"New Zealand tour of Australia, 2022",https://www.cricbuzz.com/cricket-series/4240/new-zealand-tour-of-australia-2022/matches
2022,International,"Zimbabwe tour of Australia, 2022",https://www.cricbuzz.com/cricket-series/4233/zimbabwe-tour-of-australia-2022/matches
2022,International,"Asia Cup, 2022",https://www.cricbuzz.com/cricket-series/4499/asia-cup-2022/matches
